"","ZNF207","AQR","PIGV","PXMP4","INTS6","SSBP1","KIF21B","BPIFB1","SGCE","SERINC3","WASF3","LYSMD2","C16orf58","TUFT1","ROPN1L","EGFR","RAB28","LARP4","PPP1R32","GLB1L","PCOLCE2","STOML2","PCDH7","SPATA24","TRABD","SLFN11","TANGO2","H2AC20","PRPF40A","TTC30A","SPINK13","RPL41","AC116913.1","PCDHB16","CLDN18","TGFB2","MSH2","SH3GLB1","TRMU","GSK3A","DDX6","TRIM38","CNTN3"
"PC-14",-0.335214303430134,0.518044152139771,1.39340114965823,-0.0844488581986594,0.381248015323981,0.787290229272808,-0.0744037645514623,0.0452909520416813,-0.22091156806484,0.732813554405477,-1.47349275964248,0.14095413234532,1.59706153691942,0.290058145223636,2.64917401422749,1.32639845790234,-0.445038975581117,-0.6768318356744,-0.472218344964681,-0.570067646744761,-1.01556634522583,-0.449757404030231,1.02215816829478,0.00963906517919235,0.324991961612648,-1.13479310812979,0.0772483009633823,-1.96850063136844,-0.0356601303215392,0.0856268343825873,-0.365766916129149,-1.41482342039723,0.505226242254701,-0.883944202874429,-0.34733812971431,0.329477962542461,0.0599689783879686,-0.599437982243549,-0.65513493545281,-0.564372585689663,-0.44534635020252,1.80431072837315,-0.587654582197709
"A-549",0.363410483422067,1.07803137633527,0.735037370034963,-0.487662976561653,-0.498933567192746,-0.323819395362985,0.218783914598519,1.04312722488028,0.652259606896727,0.577058480435018,-1.55818237791184,1.06433752437321,0.996016201157314,-0.452332248806401,-0.754737976791238,-0.150140712770332,-0.930631659904529,-0.00899108628952848,-0.35077743358098,0.561284747449918,0.900009087703589,0.51762038163456,-0.784642885559947,-0.758112614920218,-0.392454933343857,0.348491075793352,-0.504416140333357,-1.38789274094678,0.126612526806121,0.189264450707156,-0.189531367013975,-0.864013766735843,-1.34675545859922,-0.6291606250604,-0.408136639440003,-0.0247777618932176,-0.920980818863329,-1.34335917747127,-1.3423042515466,1.18597573672812,-0.728648633572589,0.474690639617148,-0.56936515983806
"NCI-H841",-0.109209826983106,-0.33161457959294,1.85517315215456,-0.571197928029609,-0.805580544779889,0.877406125980977,-0.0833447018193613,-0.159186566917738,0.936048849534136,-1.34991599735219,-0.0673930168811795,-0.045982630521347,-0.257920483090935,0.921564792599834,2.65628182766719,0.604537338908703,0.0209813244052016,-2.21973808754503,-0.423854698269442,2.26391327348084,0.709034823951579,0.660903841442569,0.189727157661255,3.06883216664133,-0.192504178442667,-0.819307793140998,0.071452801320959,-0.428324791953984,-0.669778536627704,1.81136543379793,-0.379204935469973,-0.404253019540361,0.0291521291966393,-0.0996420123208442,-0.283586713921765,-0.365213049252445,0.282222861421978,-0.305615762199098,-0.31552510841167,-0.0212261639942485,-0.144679097310512,-1.32020341460462,-0.368229143054878
"NCI-H1876",0.850531547603097,1.3487598426834,-1.93207726038317,-2.00375234152141,1.3452513958758,0.0123730928219376,-0.156805138749516,-0.325920926463519,-0.253970916415329,-0.825015489833415,0.740379293958637,-0.946703155607786,-1.14107297727405,-0.127541629333523,-0.974439951748468,-0.824992154966583,1.01131781875175,1.4694872630787,-0.82993028180092,0.162783760931208,-0.113760559225496,0.03462503087704,-0.862318404985539,-0.616429364660329,-0.202175219468256,1.73362516584263,-0.666030325712464,1.26349734751927,1.02510199443219,0.440577924548175,-0.349319791926735,0.222109233917164,-0.272824119191557,-0.427937996661273,-0.392835595124506,-0.172072023341952,1.12407492132127,-1.50147974532479,-0.418740567996455,1.32002731564221,1.23332870643979,0.769217122851464,1.59872784171114
"RERF-LC-KJ",-0.498403277891316,0.0457908911720163,0.201264015546104,0.674363501246115,0.550943303722654,0.824510329111477,-0.954490549854839,0.392528098441705,0.478239017061696,0.196684110612147,-0.560611139389012,-0.512025791628478,1.24929278839314,2.32622628195988,-0.294278135307076,0.317833747161376,-0.696248030105759,0.829512501925353,-0.134631319712084,1.05972660199565,-1.18385311209506,-1.92798138728018,1.57223142272592,-0.591578725140619,0.226736675458579,-0.958329960644861,1.75703744716793,-0.254510843437831,0.79839535202249,0.255329536363691,-0.133761282240625,-0.0554205137562242,-1.03604061006966,-1.08108374604102,-0.337408609576973,-0.74470695861362,0.0333497879583177,3.06283205217171,-0.291187400691621,-0.354810642834231,0.732013372891424,0.440065084059665,-0.455940310485015
"NCI-H1781",0.595962775649114,-1.03935120568032,0.990104033536918,1.66434025381429,-0.171665920812341,0.0507033462321902,-0.936584535221863,4.74161719100848,0.793180813606034,-0.539899858687225,0.472047901191142,-2.77088544590069,-0.252203769529697,2.08225836500945,0.180077304565941,-0.14003997236737,1.94910482128636,-1.39188868470218,-0.426462829296644,-0.409988098579563,-1.30782040842513,-0.916310853755175,1.31259075624449,-1.42068316157424,0.130994607050689,1.92961323722053,-0.872341699679362,0.366630565112447,-1.44014829557917,-0.808643387461202,-0.439703023758453,0.919284175177036,0.394520372372007,-0.767566457732565,-0.371748246594346,-0.623694254763929,0.0764035821574001,-1.75330953952074,-1.23314235596548,-0.635634345416992,-0.398547502983576,0.781891090361844,-0.30824515419809
"HCC78",1.219554994114,-0.13968118991006,0.118988606042606,-0.399422236298642,-1.04503269588322,-0.275246065890168,-0.877585213476758,-0.626884745729564,-0.105687431821502,0.248597961881561,-1.47911909121473,0.804914626233789,0.771811132361289,0.279087790609258,0.0541919679510926,-0.460373037511817,-0.893982894875624,-0.0353423865745259,-0.289874458662914,-0.316281181993098,-1.26757837522576,-0.193388671337808,0.400817736761568,0.078784147658837,-0.219176105564585,1.71736617179868,0.39267547936641,-0.104083298274784,0.112824349679447,2.21110534864364,-0.28093172846253,0.532428448426023,-0.462115156386998,-0.778592470028506,-0.352539417146703,-0.150526880771231,0.118185768388181,0.0106894162407267,-0.983257157403586,0.374396090018414,0.34193888255386,0.819523663045003,-0.552681622195354
"EBC-1",-0.893126373029247,-1.82052308952902,1.88844799652561,-0.24033975587718,-0.827872597470489,-0.583968817623982,-0.417538904292282,-0.0592318189575303,1.42952695874419,1.24677273406761,-0.762407173938651,1.32773128885797,1.2376813491357,-0.338925758819613,-0.152079825701298,0.502065571262626,-0.478697429379591,-1.36566945102509,0.686185040992618,0.472305662654244,-0.264281744808343,-1.9243315074664,0.0154523160095032,0.59621019252637,-0.304631199519831,0.619117955178312,0.272839930617775,-1.40029783157056,-1.3294993062626,-0.632689546436023,-0.175765628779803,-0.377211617001217,1.63278003454477,-0.780251593591406,0.0175526407870255,0.0292053262582535,-1.83560772497294,-0.0217915260747178,0.756103058554283,0.230283427840966,-0.762070882263171,1.10293137287451,-0.347725749021171
"Calu-6",-0.1705839050431,1.36687093318689,-0.658962556001623,0.472837158529669,2.63053989861433,0.291920237552316,-0.915634435557028,-0.375418491760379,0.014430458688576,-0.370382650641551,-1.4231631925362,-0.892057909027973,0.858063685991539,-0.758298365308845,-0.301340120407396,-0.313361538922039,-1.02650420029395,-0.457999310092822,-1.21756451578173,0.758252039202484,0.0780749329327503,0.41249609133064,1.91025301732833,1.37070025049592,-0.519151469124463,-0.790566284558368,-0.951061898065147,-0.767293732829183,1.60687363179337,0.0242859397251821,0.284299176815709,1.07966517700306,-0.658125353837607,-0.271651941467973,-0.545488312012753,-0.560932078944063,1.34012331551145,-0.983262431700027,0.029397437773228,0.697245279060085,-0.765418327016399,0.0766345233467117,-0.391034290217037
"COR-L23",-0.00641953120830754,-0.0156178515737819,0.0201194736294552,-0.000400112101165134,-0.184964081405418,0.0769449682653649,-0.179725741095906,-0.305946039055158,0.153095063168842,0.11419502030342,0.095725669390979,0.14095413234532,-0.0665176505772418,-0.13480580610981,-0.330259652547515,-0.155430355053725,-0.0296577060659877,0.0687535775922655,-0.15878504000117,-0.136974491871055,-0.0494232566534632,0.0400007849939054,-0.434894452283933,-0.139875840145167,-0.150203229663252,-0.0515294346431413,-0.125684250990368,0.0296942697724409,0.112824349679447,-0.27595968101623,-0.236032656648928,0.158065403558092,-0.143823878711675,-0.391506996809018,-0.256572914877056,-0.321802681157586,0.0333497879583177,-0.0267948426308048,-0.0107849415161662,0.102626237198469,-0.221716777075196,0.150191637799288,-0.365445902609526
